City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,bredasdorp,-34.5322,20.0403,12.57,93,25,0.97,ZA,1683590980
114,grand forks,47.9417,-97.4337,13.96,72,100,2.06,US,1683590752
115,lebanon,36.2081,-86.2911,26.12,83,0,2.06,US,1683590719
116,gwanda,-20.9333,29.0,15.37,84,33,3.34,ZW,1683590997
117,enewetak,11.3474,162.3373,27.47,81,100,7.82,MH,1683591020
118,fale old settlement,-9.3852,-171.2468,29.3,75,6,5.55,TK,1683591026
119,hawaiian paradise park,19.5933,-154.9731,27.07,68,20,2.57,US,1683591042
120,weno,7.4515,151.8468,28.97,84,75,1.54,FM,1683591048
121,quellon,-43.1167,-73.6167,8.14,100,100,2.57,CL,1683591054
122,hammerfest,70.6634,23.6821,1.25,100,100,2.06,NO,1683591059
123,hithadhoo,-0.6,73.0833,28.17,73,45,4.56,MV,1683591065
124,port blair,11.6667,92.75,28.6,79,100,4.47,IN,1683591071
125,sao joao da barra,-21.6403,-41.0511,24.08,81,19,5.21,BR,1683591022
126,hermanus,-34.4187,19.2345,16.0,87,8,1.38,ZA,1683591082
127,umba,66.6871,34.3429,0.33,98,99,2.94,RU,1683591088
128,luderitz,-26.6481,15.1594,15.47,59,0,4.9,NA,1683591093
129,mwinilunga,-11.7358,24.4293,13.38,80,42,1.31,ZM,1683591099
130,soc trang,9.6033,105.98,29.65,67,97,3.08,VN,1683591105
131,miri,4.4148,114.0089,26.12,80,99,1.78,MY,1683591110
132,antsiranana,-12.2787,49.2917,23.92,81,2,5.21,MG,1683591116
133,dunedin,-45.8742,170.5036,19.89,59,100,2.24,NZ,1683591121
134,punta arenas,-53.15,-70.9167,7.06,81,75,6.69,CL,1683590937
135,n'zeto,-7.2312,12.8666,25.47,92,85,1.79,AO,1683591133
136,bilibino,68.0546,166.4372,-1.82,86,100,2.16,RU,1683591139
137,qaqortoq,60.7167,-46.0333,1.05,88,96,1.38,GL,1683591144
138,east london,-33.0153,27.9116,17.15,82,78,3.76,ZA,1683591150
139,thinadhoo,0.5333,72.9333,27.91,75,42,4.69,MV,1683591156
140,laguna,38.421,-121.4238,21.66,45,0,4.63,US,1683591103
141,iqaluit,63.7506,-68.5145,-9.73,91,11,2.28,CA,1683591172
142,el granada,37.5027,-122.4694,19.68,64,0,7.72,US,1683591178
143,yarmouth,41.7057,-70.2286,17.86,63,0,2.68,US,1683591184
144,kirensk,57.7853,108.1119,10.25,77,41,3.12,RU,1683591189
